route_id,source_type,file,symbol,blueprint,method,path_template,path_expr,route_family,feature_gates,decorators,auth_mode,contract_test_id,go_owner_package,cutover_switch_id,rollback_switch_id,rollback_value,migration_status,notes
ROUTE-0001,resource,endpoints/api/organization.py,ApplicationInformation,api_bp,GET,/api/v1/app/<client_id>,/v1/app/<client_id>,api-v1,,,session-or-oauth2,CT-ROUTE-0001,api-service,ROUTE_OWNER_API_V1_GET_API_V1_APP_CLIENT_ID,ROUTE_OWNER_API_V1_GET_API_V1_APP_CLIENT_ID,python,planned,auth_mode inferred from decorators/path family
ROUTE-0002,resource,endpoints/api/user.py,DetachExternal,api_bp,POST,/api/v1/detachexternal/<service_id>,/v1/detachexternal/<service_id>,api-v1,features.DIRECT_LOGIN,show_if,session-or-oauth2,CT-ROUTE-0002,api-service,ROUTE_OWNER_API_V1_POST_API_V1_DETACHEXTERNAL_SERVICE_ID,ROUTE_OWNER_API_V1_POST_API_V1_DETACHEXTERNAL_SERVICE_ID,python,planned,auth_mode inferred from decorators/path family
ROUTE-0003,resource,endpoints/api/discovery.py,DiscoveryResource,api_bp,GET,/api/v1/discovery,/v1/discovery,api-v1,,,session-or-oauth2,CT-ROUTE-0003,api-service,ROUTE_OWNER_API_V1_GET_API_V1_DISCOVERY,ROUTE_OWNER_API_V1_GET_API_V1_DISCOVERY,python,planned,auth_mode inferred from decorators/path family
ROUTE-0004,resource,endpoints/api/search.py,EntitySearch,api_bp,GET,/api/v1/entities/<prefix>,/v1/entities/<prefix>,api-v1,,,session-or-oauth2,CT-ROUTE-0004,api-service,ROUTE_OWNER_API_V1_GET_API_V1_ENTITIES_PREFIX,ROUTE_OWNER_API_V1_GET_API_V1_ENTITIES_PREFIX,python,planned,auth_mode inferred from decorators/path family
ROUTE-0005,resource,endpoints/api/search.py,LinkExternalEntity,api_bp,POST,/api/v1/entities/link/<username>,/v1/entities/link/<username>,api-v1,,,session-or-oauth2,CT-ROUTE-0005,api-service,ROUTE_OWNER_API_V1_POST_API_V1_ENTITIES_LINK_USERNAME,ROUTE_OWNER_API_V1_POST_API_V1_ENTITIES_LINK_USERNAME,python,planned,auth_mode inferred from decorators/path family
ROUTE-0006,resource,endpoints/api/error.py,Error,api_bp,GET,/api/v1/error/<error_type>,/v1/error/<error_type>,api-v1,,,session-or-oauth2,CT-ROUTE-0006,api-service,ROUTE_OWNER_API_V1_GET_API_V1_ERROR_ERROR_TYPE,ROUTE_OWNER_API_V1_GET_API_V1_ERROR_ERROR_TYPE,python,planned,auth_mode inferred from decorators/path family
ROUTE-0007,resource,endpoints/api/user.py,ExternalLoginInformation,api_bp,POST,/api/v1/externallogin/<service_id>,/v1/externallogin/<service_id>,api-v1,,,session-or-oauth2,CT-ROUTE-0007,api-service,ROUTE_OWNER_API_V1_POST_API_V1_EXTERNALLOGIN_SERVICE_ID,ROUTE_OWNER_API_V1_POST_API_V1_EXTERNALLOGIN_SERVICE_ID,python,planned,auth_mode inferred from decorators/path family
ROUTE-0008,resource,endpoints/api/build.py,FileDropResource,api_bp,POST,/api/v1/filedrop/,/v1/filedrop/,api-v1,,,session-or-oauth2,CT-ROUTE-0008,api-service,ROUTE_OWNER_API_V1_POST_API_V1_FILEDROP,ROUTE_OWNER_API_V1_POST_API_V1_FILEDROP,python,planned,auth_mode inferred from decorators/path family
ROUTE-0009,resource,endpoints/api/search.py,ConductSearch,api_bp,GET,/api/v1/find/all,/v1/find/all,api-v1,,,session-or-oauth2,CT-ROUTE-0009,api-service,ROUTE_OWNER_API_V1_GET_API_V1_FIND_ALL,ROUTE_OWNER_API_V1_GET_API_V1_FIND_ALL,python,planned,auth_mode inferred from decorators/path family
ROUTE-0010,resource,endpoints/api/search.py,ConductRepositorySearch,api_bp,GET,/api/v1/find/repositories,/v1/find/repositories,api-v1,,,session-or-oauth2,CT-ROUTE-0010,api-service,ROUTE_OWNER_API_V1_GET_API_V1_FIND_REPOSITORIES,ROUTE_OWNER_API_V1_GET_API_V1_FIND_REPOSITORIES,python,planned,auth_mode inferred from decorators/path family
ROUTE-0011,resource,endpoints/api/globalmessages.py,GlobalUserMessage,api_bp,DELETE,/api/v1/message/<uuid>,/v1/message/<uuid>,api-v1,features.SUPER_USERS,show_if,session-or-oauth2,CT-ROUTE-0011,api-service,ROUTE_OWNER_API_V1_DELETE_API_V1_MESSAGE_UUID,ROUTE_OWNER_API_V1_DELETE_API_V1_MESSAGE_UUID,python,planned,auth_mode inferred from decorators/path family
ROUTE-0012,resource,endpoints/api/globalmessages.py,GlobalUserMessages,api_bp,GET,/api/v1/messages,/v1/messages,api-v1,,,session-or-oauth2,CT-ROUTE-0012,api-service,ROUTE_OWNER_API_V1_GET_API_V1_MESSAGES,ROUTE_OWNER_API_V1_GET_API_V1_MESSAGES,python,planned,auth_mode inferred from decorators/path family
ROUTE-0013,resource,endpoints/api/globalmessages.py,GlobalUserMessages,api_bp,POST,/api/v1/messages,/v1/messages,api-v1,,,session-or-oauth2,CT-ROUTE-0013,api-service,ROUTE_OWNER_API_V1_POST_API_V1_MESSAGES,ROUTE_OWNER_API_V1_POST_API_V1_MESSAGES,python,planned,auth_mode inferred from decorators/path family
