route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0295,endpoints/v1/__init__.py,internal_ping,GET,/v1/_internal_ping,anon-allowed,"v1_bp.route(""/_internal_ping""); anon_allowed",endpoints/v1/__init__.py:21,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; route,registryd-v1,A1,PT-ROUTE-0295,flip `ROUTE_OWNER_V1_GET_V1_INTERNAL_PING` -> `python`,BATCH-A1-ROUTES
ROUTE-0296,endpoints/v1/__init__.py,ping,GET,/v1/_ping,anon-allowed,"v1_bp.route(""/_ping""); anon_allowed",endpoints/v1/__init__.py:27,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; route,registryd-v1,A1,PT-ROUTE-0296,flip `ROUTE_OWNER_V1_GET_V1_PING` -> `python`,BATCH-A1-ROUTES
ROUTE-0297,endpoints/v1/registry.py,get_image_ancestry,GET,/v1/images/<image_id>/ancestry,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/ancestry"", methods=[""GET""]); process_auth; extract_namespace_repo_from_session; ensure_namespace_enabled; require_completion; set_cache_headers; anon_protect",endpoints/v1/registry.py:382,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; require_completion; route; set_cache_headers,registryd-v1,A1,PT-ROUTE-0297,flip `ROUTE_OWNER_V1_GET_V1_IMAGES_IMAGE_ID_ANCESTRY` -> `python`,BATCH-A1-ROUTES
ROUTE-0298,endpoints/v1/registry.py,put_image_checksum,PUT,/v1/images/<image_id>/checksum,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/checksum"", methods=[""PUT""]); process_auth; extract_namespace_repo_from_session; check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; anon_protect; check_readonly",endpoints/v1/registry.py:287,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; route,registryd-v1,A1,PT-ROUTE-0298,flip `ROUTE_OWNER_V1_PUT_V1_IMAGES_IMAGE_ID_CHECKSUM` -> `python`,BATCH-A1-ROUTES
ROUTE-0299,endpoints/v1/registry.py,get_image_json,GET,/v1/images/<image_id>/json,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/json"", methods=[""GET""]); process_auth; extract_namespace_repo_from_session; ensure_namespace_enabled; require_completion; set_cache_headers; anon_protect",endpoints/v1/registry.py:350,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; require_completion; route; set_cache_headers,registryd-v1,A1,PT-ROUTE-0299,flip `ROUTE_OWNER_V1_GET_V1_IMAGES_IMAGE_ID_JSON` -> `python`,BATCH-A1-ROUTES
ROUTE-0300,endpoints/v1/registry.py,put_image_json,PUT,/v1/images/<image_id>/json,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/json"", methods=[""PUT""]); process_auth; extract_namespace_repo_from_session; check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; anon_protect; check_readonly",endpoints/v1/registry.py:408,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; route,registryd-v1,A1,PT-ROUTE-0300,flip `ROUTE_OWNER_V1_PUT_V1_IMAGES_IMAGE_ID_JSON` -> `python`,BATCH-A1-ROUTES
ROUTE-0301,endpoints/v1/registry.py,get_image_layer,GET,/v1/images/<image_id>/layer,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/layer"", methods=[""GET""]); process_auth; extract_namespace_repo_from_session; ensure_namespace_enabled; require_completion; set_cache_headers; check_region_blacklisted(); anon_protect",endpoints/v1/registry.py:129,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_region_blacklisted; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; require_completion; route; set_cache_headers,registryd-v1,A1,PT-ROUTE-0301,flip `ROUTE_OWNER_V1_GET_V1_IMAGES_IMAGE_ID_LAYER` -> `python`,BATCH-A1-ROUTES
ROUTE-0302,endpoints/v1/registry.py,head_image_layer,HEAD,/v1/images/<image_id>/layer,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/layer"", methods=[""HEAD""]); process_auth; extract_namespace_repo_from_session; ensure_namespace_enabled; require_completion; set_cache_headers; anon_protect",endpoints/v1/registry.py:89,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; require_completion; route; set_cache_headers,registryd-v1,A1,PT-ROUTE-0302,flip `ROUTE_OWNER_V1_HEAD_V1_IMAGES_IMAGE_ID_LAYER` -> `python`,BATCH-A1-ROUTES
ROUTE-0303,endpoints/v1/registry.py,put_image_layer,PUT,/v1/images/<image_id>/layer,legacy-registry-auth,"v1_bp.route(""/images/<image_id>/layer"", methods=[""PUT""]); process_auth; extract_namespace_repo_from_session; check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; anon_protect; check_readonly",endpoints/v1/registry.py:182,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; extract_namespace_repo_from_session; process_auth; route,registryd-v1,A1,PT-ROUTE-0303,flip `ROUTE_OWNER_V1_PUT_V1_IMAGES_IMAGE_ID_LAYER` -> `python`,BATCH-A1-ROUTES
ROUTE-0304,endpoints/v1/index.py,put_repository_auth,PUT,/v1/repositories/<repopath:repository>/auth,anon-allowed,"v1_bp.route(""/repositories/<repopath:repository>/auth"", methods=[""PUT""]); parse_repository_name(); check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; anon_allowed; check_readonly",endpoints/v1/index.py:378,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; parse_repository_name; route,registryd-v1,A1,PT-ROUTE-0304,flip `ROUTE_OWNER_V1_PUT_V1_REPOSITORIES_REPOPATH_REPOSITORY_AUTH` -> `python`,BATCH-A1-ROUTES
ROUTE-0305,endpoints/v1/index.py,delete_repository_images,DELETE,/v1/repositories/<repopath:repository>/images,anon-allowed,"v1_bp.route(""/repositories/<repopath:repository>/images"", methods=[""DELETE""]); process_auth; parse_repository_name(); check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; generate_headers(scope=GrantType.WRITE_REPOSITORY); anon_allowed; check_readonly",endpoints/v1/index.py:367,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; generate_headers; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0305,flip `ROUTE_OWNER_V1_DELETE_V1_REPOSITORIES_REPOPATH_REPOSITORY_IMAGES` -> `python`,BATCH-A1-ROUTES
ROUTE-0306,endpoints/v1/index.py,get_repository_images,GET,/v1/repositories/<repopath:repository>/images,legacy-registry-auth,"v1_bp.route(""/repositories/<repopath:repository>/images"", methods=[""GET""]); process_auth; parse_repository_name(); ensure_namespace_enabled; generate_headers(scope=GrantType.READ_REPOSITORY); anon_protect",endpoints/v1/index.py:332,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; ensure_namespace_enabled; generate_headers; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0306,flip `ROUTE_OWNER_V1_GET_V1_REPOSITORIES_REPOPATH_REPOSITORY_IMAGES` -> `python`,BATCH-A1-ROUTES
